"번호","개방서비스명","개방서비스id","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"77","골프장","10_31_02_P","4060000","CDFH2302012003000002","20030429","","01","영업/정상","13","영업중","","","","","940-9553,9500","","","경기도 파주시 광탄면 발랑리 123-1번지 서원밸리G.C클럽","경기도 파주시 광탄면 서원길 333, 서원밸리G.C클럽","10830","서원밸리골프클럽","20190515140819","U","2019-05-17 02:40:00.0","","190925.28431765","479931.786057688","골프장","사립","0","","","9254.6","","","",
"78","골프장","10_31_02_P","4060000","CDFH2302012003000001","20030429","","01","영업/정상","13","영업중","","","","","943-0040","","413855","경기도 파주시 광탄면 용미리 산 79-1번지","경기도 파주시 광탄면 혜음로 324","","호반서서울 주식회사","20190614085624","U","2019-06-16 02:40:00.0","","191287.781664501","470109.993273135","골프장","사립","0","","","7236.15","","","",
"79","골프장","10_31_02_P","3920000","CDFH2302011999000001","19990317","","01","영업/정상","13","영업중","","","","","","","","경기도 동두천시 하봉암동 산 33-1번지","경기도 동두천시 평화로 3202 (하봉암동)","11306","제이레저(주) 티클라우드컨트리클럽","20200409112917","U","2020-04-11 02:40:00.0","","207645.739355564","495913.369287004","골프장","사립","1","1","1","6979","","","",
"80","골프장","10_31_02_P","4290000","CDFH2302012005000001","20050630","","01","영업/정상","13","영업중","","","","","590-7700","","233811","강원도 정선군 고한읍 고한리 산 1-166번지","","","강원랜드골프클럽","20090430104351","I","2018-08-31 23:59:59.0","","363467.035697083","409883.537300068","골프장","사립","0","","","","","","",
"81","골프장","10_31_02_P","3350000","CDFH2302011996000001","19960501","","01","영업/정상","13","영업중","","","","","509-0707","","609360","부산광역시 금정구 노포동 368번지","부산광역시 금정구 중앙대로2327번길 112  (노포동)","","부산칸트리클럽","20040421133616","I","2018-08-31 23:59:59.0","","390364.922976758","201886.659400079","골프장","사립","0","1","","","","","",
"82","골프장","10_31_02_P","4930000","CDFH2302012021000001","20210820","","01","영업/정상","13","영업중","","","","","0615378204","","","전라남도 해남군 산이면 구성리 572-1","전라남도 해남군 산이면 산이로 2247","","솔라시도 컨트리클럽","20210820113432","I","2021-08-24 00:22:50.0","","143836.424682","134411.24081","골프장","사립","","1","8","8288.79","0","","",
"83","골프장","10_31_02_P","5530000","CDFH2302012009000001","20090115","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 마도면 고모리 625-2 LINK LINE G.C 클럽하우스","경기도 화성시 마도면 해운로630번길 49, LINK LINE G.C 클럽하우스","18544","링크나인골프클럽","20181016104919","I","2020-08-05 00:23:26.0","","178106.049622798","407750.209995288","골프장","사립","0","","","3041.88","","","",
"84","골프장","10_31_02_P","5530000","CDFH2302012008000001","20081010","","01","영업/정상","13","영업중","","","","","031-369-8921","","","경기도 화성시 남양읍 북양리 172-7","경기도 화성시 남양읍 화성로 1393-27","18254","화성골프클럽","20181016104816","I","2020-08-05 00:23:26.0","","185405.394928604","413822.922759844","골프장","사립","1","","","","","","",
"85","골프장","10_31_02_P","5530000","CDFH2302012006000001","20061101","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 중동 산 170","경기도 화성시 풀무골로60번길 80 (중동)","18465","화성 상록 G.C","20210803141538","U","2021-08-05 02:40:00.0","","211850.35727400000","410860.65017700000","골프장","사립","0","","","22811.16","","","",
"86","골프장","10_31_02_P","5530000","CDFH2302011996000001","19961204","","01","영업/정상","13","영업중","","","","","031-352-7150","","","경기도 화성시 정남면 보통리 141-39","경기도 화성시 정남면 세자로 286","18516","(주)라비돌 라비돌컨트리클럽","20190515135626","I","2020-08-05 00:23:26.0","","198449.906260848","409841.049535703","골프장","사립","1","","","1216","","","",
"87","골프장","10_31_02_P","5530000","CDFH2302011992000002","19920804","","01","영업/정상","13","영업중","","","","","031-352-5061","","445971","경기도 화성시 팔탄면 해창리 256-5","경기도 화성시 팔탄면 3.1만세로 641-28","445971","신창기업(주)발리오스컨트리클럽(대중제)","20150402104719","I","2020-08-05 00:23:26.0","","188025.935818","401076.705615","골프장","사립","1","","","82.93","","","",
"88","골프장","10_31_02_P","5530000","CDFH2302011992000001","19920804","","01","영업/정상","13","영업중","","","","","","","445959","경기도 화성시 팔탄면 해창리 256-5","경기도 화성시 팔탄면 3.1만세로 641-28","445959","신창기업(주)발리오스컨트리클럽(회원제)","20190121093039","I","2020-08-05 00:23:26.0","","188025.935818","401076.705615","골프장","사립","1","","","11410.48","","","",
"89","골프장","10_31_02_P","5530000","CDFH2302011991000001","19910803","","01","영업/정상","13","영업중","","","","","031-376-4001","","","경기도 화성시 신동 50-1","경기도 화성시 풀무골로106번길 244 (신동)","18465","삼남개발(주) 기흥컨트리클럽","20201208113937","U","2020-12-10 02:40:00.0","","212868.315594927","409927.714498996","골프장","사립","1","","","14811.86","","","",
"90","골프장","10_31_02_P","5530000","CDFH2302011972000001","19720229","","01","영업/정상","13","영업중","","","","","031-376-6711","","","경기도 화성시 청계동 510-385 리베라CC클럽하우스","경기도 화성시 중리길 183, 리베라CC클럽하우스 (청계동)","18482","(주)관악 리베라컨트리클럽","20181016104608","I","2020-08-05 00:23:26.0","","209874.109397587","409907.066542863","골프장","사립","1","1","","1","3076","","",
"91","골프장","10_31_02_P","5600000","CDFH2302012020000002","20200703","","01","영업/정상","13","영업중","","","","","031-538-0613","","","경기도 포천시 이동면 연곡리 산 142-1","경기도 포천시 이동면 제비울2길 161","","라싸골프클럽","20201102170320","U","2020-11-04 02:40:00.0","","233519.314893777","498917.609364433","골프장","사립","","1","6","8274.33","","","",
"92","골프장","10_31_02_P","4070000","CDFH2302011998000001","19980621","","01","영업/정상","13","영업중","","","","","630-7500","","","경기도 이천시 모가면 두미리 419 뉴스프링C.C","경기도 이천시 모가면 사실로527번길 158, 뉴스프링빌C.C.","17406","뉴스프링빌골프장(대중제)","20210223103726","U","2021-02-25 02:40:00.0","","238263.44452947","405932.926652506","골프장","사립","Y","","8","1064.45","","","",
"93","골프장","10_31_02_P","4080000","CDFH2302011999000003","19990603","","01","영업/정상","13","영업중","","","","","","","456862","경기도 안성시 금광면 삼흥리 산 1","경기도 안성시 금광면 삼흥로 660","","안성베네스트G.C","20210423141417","U","2021-04-25 02:40:00.0","","233676.547652626","391923.582757029","골프장","사립","","","","","","","",
"94","골프장","10_31_02_P","4080000","CDFH2302011999000002","19990212","","01","영업/정상","13","영업중","","","","","","","456921","경기도 안성시 고삼면 가유리 787-15번지","경기도 안성시 고삼면 개울말길 149","456921","신안컨트리클럽","20140129143013","I","2018-08-31 23:59:59.0","","222092.296516503","399663.486769086","골프장","사립","1","","","21988.96","1312","","",
"95","골프장","10_31_02_P","4080000","CDFH2302011992000001","19920407","","01","영업/정상","13","영업중","","","","","031-674-9111","","456891","경기도 안성시 죽산면 장계리 736번지","경기도 안성시 죽산면 장계길 134","456891","안성컨트리클럽","20120104152231","I","2018-08-31 23:59:59.0","","236024.616901894","393750.368440237","골프장","사립","1","","","8079.71","","","",
"96","골프장","10_31_02_P","4080000","CDFH2302012018000001","20180427","","01","영업/정상","13","영업중","","","","","","","","경기도 안성시 양성면 미산리 982","경기도 안성시 양성면 약산길 67-6","17500","루나힐스 안성 컨트리클럽","20210215122738","U","2021-02-17 02:40:00.0","","","","골프장","사립","Y","1","","9590.33","","","",
"97","골프장","10_31_02_P","4080000","CDFH2302012014000001","20140805","","01","영업/정상","13","영업중","","","","","070-8056-0700","","456873","경기도 안성시 보개면 북가현리 산 65-1번지","경기도 안성시 보개면 보삼로 302","","골프존카운티 안성H","20180801180338","I","2018-08-31 23:59:59.0","","229602.237071335","399377.061205741","골프장","사립","","1","","6844.27","","","",
"98","골프장","10_31_02_P","4080000","CDFH2302012011000004","20110504","","01","영업/정상","13","영업중","","","","","031-676-4555","","456932","경기도 안성시 양성면 노곡리 123번지","경기도 안성시 양성면 안성맞춤대로 2134-36","","마에스트로 CC","20180307110110","I","2018-08-31 23:59:59.0","","223418.702042103","400566.990837944","골프장","사립","Y","1","","13718.76","417","","",
"99","골프장","10_31_02_P","4020000","CDFH2302012001000001","20010716","","01","영업/정상","13","영업중","","","","","","","435737","경기도 군포시 부곡동 1","경기도 군포시 군포로 364 (부곡동)","435737","삼성물산(주)안양컨트리클럽","20210413091243","U","2021-04-15 02:40:00.0","","194950.116480648","426002.071892325","골프장","사립","Y","1","","17974.21","","","",
"100","골프장","10_31_02_P","4160000","CDFH2302012013000001","20130312","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 조종면 운악리 산 90 리앤리컨트리클럽","경기도 가평군 조종면 운악청계로 702-24, 리앤리컨트리클럽","12432","가평리조트 골프장","20201228141054","U","2020-12-30 02:40:00.0","","231991.302201567","485602.672319715","골프장","사립","Y","1","5","14446.96","","","",
"101","골프장","10_31_02_P","4160000","CDFH2302012005000001","20050823","","01","영업/정상","13","영업중","","","","","","","477851","경기도 가평군 설악면 방일리 산 90-2번지","경기도 가평군 설악면 유명로 961-34","477851","아난티클럽서울(주)","20180302170952","I","2018-08-31 23:59:59.0","","242397.921564933","457662.531300279","골프장","사립","1","","13","10099.92","1556","","",
"102","골프장","10_31_02_P","4160000","CDFH2302012004000003","20040924","","01","영업/정상","13","영업중","","","","","","","477823","경기도 가평군 상면 상동리 산 52","경기도 가평군 상면 둔덕말길 232","477823","가평베네스트G.C","20210412165732","U","2021-04-14 02:40:00.0","","226656.53269365","477303.07158774","골프장","사립","1","","7","","","","",
"103","골프장","10_31_02_P","4160000","CDFH2302012004000002","20040921","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 상면 항사리 산 36-2","경기도 가평군 상면 대보간선로 602-111 (크리스탈밸리)","12445","크리스탈밸리C.C","20201023144055","U","2020-10-25 02:40:00.0","","234301.294224952","476563.673216968","골프장","사립","1","","6","7059.42","","","",
"104","골프장","10_31_02_P","4160000","CDFH2302012002000001","20020410","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 설악면 이천리 산 2-1번지","경기도 가평군 설악면 다락재로 73-111 (청평마이다스골프클럽)","12459","청평마이다스골프클럽","20180425091318","I","2018-08-31 23:59:59.0","","240189.66203176","462459.267263591","골프장","사립","0","","","7826.04","310","","",
"105","골프장","10_31_02_P","4160000","CDFH2302011999000001","19990910","","01","영업/정상","13","영업중","","","","","031-585-7900-115","","","경기도 가평군 조종면 운악리 산 144-1","경기도 가평군 조종면 운악청계로 809 (썬힐골프클럽)","12432","썬힐G.C","20210419112821","U","2021-04-21 02:40:00.0","","231042.254563092","486176.227861485","골프장","사립","1","","8","8897","","","",
"106","골프장","10_31_02_P","4180000","CDFH2302012004000001","20041011","","01","영업/정상","13","영업중","","","","","","","200914","강원도 춘천시 남산면 서천리 산 35번지","","","제이드팰리스솔프클럽","20041011113318","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"107","골프장","10_31_02_P","4190000","CDFH2302012001000001","20010602","","01","영업/정상","13","영업중","","","","","730-3500","","220821","강원도 원주시 지정면 월송리 산 171번지","","","오크밸리대중골프장","20030509165854","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"108","골프장","10_31_02_P","4190000","CDFH2302011998000001","19980618","","01","영업/정상","13","영업중","","","","","730-3500","","220821","강원도 원주시 지정면 월송리 산 171번지","","","오크밸리골프장","20030509165647","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"109","골프장","10_31_02_P","4190000","CDFH2302011996000001","19960531","","01","영업/정상","13","영업중","","","","","731-4811","","220833","강원도 원주시 소초면 수암리 산 24번지","","","파크밸리대중골프장","20030509165526","I","2018-08-31 23:59:59.0","","289836.41623767","432667.482486981","골프장","사립","0","","","","","","",
"110","골프장","10_31_02_P","4190000","CDFH2302011994000001","19940830","","01","영업/정상","13","영업중","","","","","732-3700","","220821","강원도 원주시 지정면 월송리 산 2-2번지","강원도 원주시 지정면 신평석화로 236","","동서울레스피아대중골프장","20030509170026","I","2018-08-31 23:59:59.0","","277724.209625765","433440.190760061","골프장","사립","0","","","","","","",
"111","골프장","10_31_02_P","5600000","CDFH2302012020000001","20200217","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 군내면 직두리 산 1-24","경기도 포천시 군내면 청군로 2856-93","11155","샴발라 컨트리클럽","20210721170113","U","2021-07-23 02:40:00.0","","","","골프장","사립","","1","1","2241.41","0","","",
"112","골프장","10_31_02_P","4070000","CDFH2302012020000001","20200219","","01","영업/정상","13","영업중","","","","","031-638-8374","","","경기도 이천시 호법면 단천리 63-1 클럽하우스","경기도 이천시 호법면 중부대로798번길 177, 클럽하우스","","더크로스비골프클럽","20210201162741","U","2021-02-03 02:40:00.0","","","","골프장","사립","Y","1","7","14789","","","",
"113","골프장","10_31_02_P","4940000","CDFH2302012019000001","20191031","","01","영업/정상","13","영업중","","","","","","","","전라남도 영암군 삼호읍 난전리 2156","전라남도 영암군 삼호읍 에프원로 121-1","","사우스링스영암 CC","20200806085131","U","2020-08-08 02:40:00.0","","","","골프장","사립","Y","2","2","5581.39","","","",
"114","골프장","10_31_02_P","3060000","CDFH2302012007000001","20070410","","01","영업/정상","13","영업중","","","","","3422-3394","","131846","서울특별시 중랑구 묵동 20번지 대림두산아파트 상가동 지하호","서울특별시 중랑구 신내로21길 16 (묵동)","131848","비전골프","20111030133922","I","2018-08-31 23:59:59.0","","207718.222107219","457174.958326298","골프장","사립","0","","","","","","",
"115","골프장","10_31_02_P","5540000","CDFH2302012000000001","20000627","","01","영업/정상","13","영업중","","","","","031-762-3114","","","경기도 광주시 곤지암읍 이선리 5-27번지","경기도 광주시 곤지암읍 내선길 176","12725","그린힐 컨트리클럽","20181205170429","U","2018-12-07 02:40:00.0","","237328","428835","골프장","사립","0","","","","","","",
"116","골프장","10_31_02_P","5540000","CDFH2302011997000001","19970508","","01","영업/정상","13","영업중","","","","","031-719-0300","","464020","경기도 광주시 목동 497-6","경기도 광주시 새말길 353 (목동)","464020","강남300 컨트리클럽","20210412170911","U","2021-04-14 02:40:00.0","","216019.924211526","431555.3234958","골프장","사립","0","","","7692.8","874","","",
"117","골프장","10_31_02_P","5540000","CDFH2302011994000001","19941224","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 곤지암읍 오향리 156-1","경기도 광주시 곤지암읍 오향길 180","12718","큐로CC","20210504091428","U","2021-05-06 02:40:00.0","","232884.228070359","430767.849456859","골프장","사립","0","","","9436.85","","","",
"118","골프장","10_31_02_P","5540000","CDFH2302011993000001","19931211","","01","영업/정상","13","영업중","","","","","031-760-3421","","","경기도 광주시 도척면 도웅리 210-2번지","경기도 광주시 도척면 도척윗로 280","12809","곤지암GC","20190704093220","U","2019-07-06 02:40:00.0","","226234.64672689","425778.035294562","골프장","사립","0","","","9663.27","","","",
"119","골프장","10_31_02_P","5540000","CDFH2302011987000002","19871020","","01","영업/정상","13","영업중","","","","","031-763-2752","","","경기도 광주시 곤지암읍 곤지암리 26-1","경기도 광주시 곤지암읍 경충대로 451 (중부컨트리클럽)","12812","중부컨트리클럽","20210829103114","U","2021-08-31 02:40:00.0","","231413.26336278","426069.669937548","골프장","사립","0","0","0","7119.51","0","","",
"120","골프장","10_31_02_P","5540000","CDFH2302011987000001","19871024","","01","영업/정상","13","영업중","","","","","760-8032","","464040","경기도 광주시 삼동 1","경기도 광주시 삼지곡길 95 (삼동)","464040","뉴서울컨트리클럽","20200716084920","U","2020-07-18 02:40:00.0","","218600.711275017","435382.862682242","골프장","사립","0","","","10000.02","","","",
"121","골프장","10_31_02_P","5540000","CDFH2302012001000001","20011030","","01","영업/정상","13","영업중","","","","","031-760-3806","","","경기도 광주시 곤지암읍 건업리 4-43번지","경기도 광주시 곤지암읍 건업길 195","12720","이스트밸리컨트리클럽","20200221132636","U","2020-02-23 02:40:00.0","","234098.24408438","433747.524922151","골프장","사립","0","","9","10436","675","","",
"122","골프장","10_31_02_P","5540000","CDFH2302012003000001","20031224","","01","영업/정상","13","영업중","","","","","769-0333","","464871","경기도 광주시 곤지암읍 이선리 510","경기도 광주시 곤지암읍 부항길 135-38","464870","남촌컨트리클럽","20210223174148","U","2021-02-25 02:40:00.0","","236969.520516597","427627.157417996","골프장","사립","0","","","6996.36","","","",
"123","골프장","10_31_02_P","3990000","CDFH2302012009000001","20091231","","01","영업/정상","13","영업중","","","","","","","472883","경기도 남양주시 오남읍 오남리 산 171-3번지","","","라미드관광주식회사","20110608092216","I","2018-08-31 23:59:59.0","","219005.668273776","464074.585410942","골프장","사립","","","","462.68","","","",
"124","골프장","10_31_02_P","3990000","CDFH2302012002000001","20021017","","01","영업/정상","13","영업중","","","","","031-528-7001","","","경기도 남양주시 진접읍 팔야리 산 1번지 광릉C.C","경기도 남양주시 진접읍 팔야로 280","12017","광릉레져개발(주)  광릉CC","20171206173803","I","2018-08-31 23:59:59.0","","221443.89939178","473369.925563908","골프장","사립","","","","4171.92","","","",
"125","골프장","10_31_02_P","3990000","CDFH2302012000000001","20000605","","01","영업/정상","13","영업중","","","","","595-3355","","472843","경기도 남양주시 화도읍 녹촌리 산 52-1번지","경기도 남양주시 화도읍 마치로 226-220","","비전힐스CC","20191120153559","U","2019-11-22 02:40:00.0","","223532.026482533","459920.729782903","골프장","사립","0","","","9955.32","","","",
"126","골프장","10_31_02_P","3990000","CDFH2302011997000001","19971015","","01","영업/정상","13","영업중","","","","","528-7001","","472868","경기도 남양주시 진접읍 팔야리 산 1번지","경기도 남양주시 진접읍 팔야로 280","","광릉레져개발(주) 광릉CC","20181204102606","U","2018-12-06 02:40:00.0","","221443.89939178","473369.925563908","골프장","사립","0","","","29433.73","","","",
"127","골프장","10_31_02_P","3780000","CDFH2302012003000001","20030317","","01","영업/정상","13","영업중","","","","","","","461210","경기도 성남시 수정구 창곡동 92-1번지","","","(재)한국군사문제연구원남성대쌍둥이골프연습장","20040916113940","I","2018-08-31 23:59:59.0","","212289.722661122","441032.374212547","골프장","사립","0","","","","","","",
"128","골프장","10_31_02_P","3780000","CDFH2302011971000001","19711021","","01","영업/정상","13","영업중","","","","","","","463420","경기도 성남시 분당구 백현동 511-25번지","경기도 성남시 분당구 안양판교로1201번길 1201 (판교동)","463410","경원건설(주)","20170911100436","I","2018-08-31 23:59:59.0","","207211.427645458","430913.982870615","골프장","사립","0","","","9484.03","","","",
"129","골프장","10_31_02_P","3990000","CDFH2302011990000002","19900329","","01","영업/정상","13","영업중","","","","","","","472847","경기도 남양주시 화도읍 차산리 산 111-1번지","경기도 남양주시 화도읍 재재기로190번길 26","472847","록인 컨트리클럽","20131223152536","I","2018-08-31 23:59:59.0","","226225.675155735","456804.753362742","골프장","사립","0","","","","","","",
"130","골프장","10_31_02_P","3990000","CDFH2302011990000001","19901226","","01","영업/정상","13","영업중","","","","","591-6065","","472842","경기도 남양주시 화도읍 금남리 300번지","경기도 남양주시 화도읍 북한강로 1525-52","","근영농산(주)양주컨트리클럽","20030517101627","I","2018-08-31 23:59:59.0","","231129.83070773","460166.914561971","골프장","사립","0","","","","","","",
"131","골프장","10_31_02_P","3990000","CDFH2302012007000002","20071130","","01","영업/정상","13","영업중","","","","","","","472847","경기도 남양주시 화도읍 차산리 산 111-0001번지","경기도 남양주시 화도읍 재재기로190번길 26","472848","해비치cc","20111030131740","I","2018-08-31 23:59:59.0","","226225.675155735","456804.753362742","골프장","사립","0","","","","","","",
"132","골프장","10_31_02_P","3990000","CDFH2302012007000001","20070319","","01","영업/정상","13","영업중","","","","","","","472847","경기도 남양주시 화도읍 차산리 산 111-1번지","경기도 남양주시 화도읍 재재기로190번길 26","472847","해비치 컨트리클럽","20200319131106","U","2020-03-21 02:40:00.0","","226225.675155735","456804.753362742","골프장","사립","0","","","19278","","","",
"133","골프장","10_31_02_P","4090000","CDFH2302011995000001","19951018","","01","영업/정상","13","영업중","","","","","031-987-9992","","415877","경기도 김포시 월곶면 포내리 220-6","경기도 김포시 월곶면 김포대로2081번길 219","415870","김포 SEASIDE 컨트리클럽","20200911113450","U","2020-09-13 02:40:00.0","","158837.769766282","467343.826690948","골프장","사립","1","","3","7153.53","1200","","",
"134","골프장","10_31_02_P","3930000","CDFH2302012013000001","20130123","","01","영업/정상","13","영업중","","","","","032-884-1004","","","경기도 안산시 단원구 대부남동 1369번지 아일랜드CC","경기도 안산시 단원구 대선로 466 (대부남동)","15647","아일랜드(주)","20190806104445","U","2019-08-08 02:40:00.0","","161130.171259208","414415.707045963","골프장","사립","","1","","10585.76","","","",
"135","골프장","10_31_02_P","3930000","CDFH2302012012000001","20120702","","01","영업/정상","13","영업중","","","","","032-885-1004","","425340","경기도 안산시 단원구 대부남동 1111번지","","","아일랜드컨트리클럽","20120702084526","I","2018-08-31 23:59:59.0","","161295.945464725","414683.378617015","골프장","사립","","","","","","","",
"136","골프장","10_31_02_P","3930000","CDFH2302011986000001","19860901","","01","영업/정상","13","영업중","","","","","400-2500","","426819","경기도 안산시 상록구 부곡동 587번지","경기도 안산시 상록구 태마당로 28  (부곡동)","","제일C.C","20030321112347","I","2018-08-31 23:59:59.0","","188207.367078952","424931.170599678","골프장","사립","0","2","","","","","",
"137","골프장","10_31_02_P","4080000","CDFH2302012011000001","20110129","","01","영업/정상","13","영업중","","","","","","","","","경기도 안성시 죽산면 녹배길 175","17521","에덴블루 컨트리클럽","20160328133849","I","2018-08-31 23:59:59.0","","234155","395880","골프장","사립","","1","","18269.44","","","",
"138","골프장","10_31_02_P","4080000","CDFH2302012010000001","20100219","","01","영업/정상","13","영업중","","","","","","","","경기도 안성시 죽산면 장계리 711","경기도 안성시 죽산면 장계길 20-229","17522","골프클럽  Q","20210312133941","U","2021-03-14 02:40:00.0","","235146.428783204","394179.710634769","골프장","사립","Y","1","","10123","1025","","",
"139","골프장","10_31_02_P","4080000","CDFH2302012008000001","20080522","","01","영업/정상","13","영업중","","","","","031-674-0139","","456931","경기도 안성시 양성면 동항리 25-1","경기도 안성시 양성면 교동길 19-70","456931","골프존카운티 안성W","20210625135531","U","2021-06-27 02:40:00.0","","217082.111282697","397060.052750996","골프장","사립","0","","","5606.68","","","",
"140","골프장","10_31_02_P","4080000","CDFH2302012007000001","20070612","","01","영업/정상","13","영업중","","","","","","","","경기도 안성시 서운면 오촌리 173-4","경기도 안성시 서운면 오촌길 97-31","17606","윈체스트 골프클럽 대중","20210308162805","U","2021-03-10 02:40:00.0","","225727.989679107","384397.939230202","골프장","사립","0","","","8612.75","542","","",
"141","골프장","10_31_02_P","4080000","CDFH2302012002000001","20021125","","01","영업/정상","13","영업중","","","","","","","456921","경기도 안성시 고삼면 가유리 787-15번지","경기도 안성시 고삼면 개울말길 149","456921","신안 퍼블릭 CC","20160622144333","I","2018-08-31 23:59:59.0","","222092.296516503","399663.486769086","골프장","사립","1","","","4155","","","",
"142","골프장","10_31_02_P","4080000","CDFH2302012001000001","20010504","","01","영업/정상","13","영업중","","","","","031-674-8350","","456931","경기도 안성시 양성면 산정리 산 5-1","경기도 안성시 양성면 양성로 349-61","456931","한림안성","20210325173308","U","2021-03-27 02:40:00.0","","217785","398203","골프장","사립","0","","","","","","",
"143","골프장","10_31_02_P","4080000","CDFH2302012000000003","20000612","","01","영업/정상","13","영업중","","","","","031-672-0071","","456932","경기도 안성시 양성면 노곡리 701-3번지","경기도 안성시 양성면 안성맞춤대로 2417-13","456932","파인크리크C.C","20180612112500","I","2018-08-31 23:59:59.0","","220738.908110768","400217.447854726","골프장","사립","","1","","7034.39","","","",
"144","골프장","10_31_02_P","4080000","CDFH2302012000000001","20000928","","01","영업/정상","13","영업중","","","","","031-670-0703","","456862","경기도 안성시 금광면 삼흥리 산 1","경기도 안성시 금광면 삼흥로 660","456862","안성베네스트골프클럽 일반대중홀","20210423143739","U","2021-04-25 02:40:00.0","","233676.547652626","391923.582757029","골프장","사립","1","","","","","","",
"145","골프장","10_31_02_P","5220000","CDFH2302011993000001","19930317","","01","영업/정상","13","영업중","","","","","","","718803","경상북도 칠곡군 왜관읍 매원리 295-1번지","경상북도 칠곡군 왜관읍 봉계로 263","","(주)한길 파미힐스 컨트리클럽","20060831160154","I","2018-08-31 23:59:59.0","","330141.106811826","278840.106760292","골프장","사립","0","","14","10634.38","","","",
"146","골프장","10_31_02_P","4880000","CDFH2302012019000001","20191021","","01","영업/정상","13","영업중","","","","","","","","전라남도 고흥군 두원면 신송리 15-2번지 골프연습장","전라남도 고흥군 두원면 동신마전길 70, 골프연습장","","고흥골프장","20200211170232","U","2020-02-13 02:40:00.0","","226574.251124","126115.332318","골프장","사립","","","","90","","","",
"147","골프장","10_31_02_P","3150000","CDFH2302012019000001","20191024","","01","영업/정상","13","영업중","","","","","02-6395-8714","","","서울특별시 강서구 오곡동 1-6번지 인서울27골프클럽","서울특별시 강서구 오정로 443-198, 인서울27골프클럽 (오곡동)","","인서울27골프클럽","20191113161605","U","2019-11-15 02:40:00.0","","181682.433518522","449387.865380491","골프장","사립","","1","4","5571.31","","","",
"148","골프장","10_31_02_P","4010000","CDFH2302012015000001","20151027","","01","영업/정상","13","영업중","","","","","","","","경기도 시흥시 거모동 121-1번지","경기도 시흥시 마전로 307 (거모동, 시흥아세코밸리골프장)","15003","아세코밸리 골프클럽","20170331092104","I","2018-08-31 23:59:59.0","","179685","429530","골프장","사립","","1","1","2129","","","",
"149","골프장","10_31_02_P","4010000","CDFH2302012014000001","20140207","","01","영업/정상","13","영업중","","","","","","","429842","경기도 시흥시 장곡동 724-2","경기도 시흥시 마유로 987 (장곡동)","","솔트베이(Salt Bay) 골프클럽","20200915145737","U","2020-09-17 02:40:00.0","","180430","431957","골프장","사립","","3","5","9238.72","","","",
"150","골프장","10_31_02_P","5050000","CDFH2302011999000002","19990701","","01","영업/정상","13","영업중","","","","","054-771-0900","","780843","경상북도 경주시 양남면 신대리 산 140-1번지","","","마우나오션 C.C(회원제)","20060405142158","I","2018-08-31 23:59:59.0","","414744.484238984","245720.536009823","골프장","사립","0","","5","5592.12","","","",
"151","골프장","10_31_02_P","5050000","CDFH2302011999000001","19991220","","01","영업/정상","13","영업중","","","","","740-5161","","780410","경상북도 경주시 마동 111-1번지","","","코오롱가든골프장","20060324213128","I","2018-08-31 23:59:59.0","","409841.98876934","256679.798847867","골프장","사립","0","","","","","","",
"152","골프장","10_31_02_P","5050000","CDFH2302012006000001","20060316","","01","영업/정상","13","영업중","","","","","054-777-9000","","780833","경상북도 경주시 감포읍 나정리 산 47번지","","","제이스C.C 시사이드","20060406135922","I","2018-08-31 23:59:59.0","","","","골프장","사립","1","3","3","7523.5","","","",
"153","골프장","10_31_02_P","5050000","CDFH2302012005000001","20051223","","01","영업/정상","13","영업중","","","","","054-773-7000","","780823","경상북도 경주시 외동읍 석계리 산 1번지","","","서라벌골프클럽(정규, 일반)","20060406135430","I","2018-08-31 23:59:59.0","","405792.334334807","246050.850701151","골프장","사립","1","3","5","10396.21","","","",
"154","골프장","10_31_02_P","5050000","CDFH2302012001000001","20010705","","01","영업/정상","13","영업중","","","","","054-740-7114","","780290","경상북도 경주시 신평동 산 5번지","","","(주)경주신라C.C(회원제)","20060324210526","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
